date,open,high,low,close,volume,crypto_name,crypto_symbol,daily_return,ma_7,volatility_30
06/03/2025,21.729,22.487,20.946,21.029,488753037,Avalanche,AVAX-USD,0.0,0.0,0.0
07/03/2025,21.029,21.144,19.778,20.097,552573508,Avalanche,AVAX-USD,-0.0443,0.0,0.0
08/03/2025,20.097,21.015,19.485,20.471,308597153,Avalanche,AVAX-USD,0.0186,0.0,0.0
09/03/2025,20.471,20.659,17.836,17.958,320273559,Avalanche,AVAX-USD,-0.1228,0.0,0.0
10/03/2025,17.956,19.0,16.22,16.286,527953869,Avalanche,AVAX-USD,-0.0931,0.0,0.0
11/03/2025,16.286,17.867,15.38,17.475,670199827,Avalanche,AVAX-USD,0.073,0.0,0.0
12/03/2025,17.475,18.934,16.969,18.899,418884253,Avalanche,AVAX-USD,0.0815,18.8879,0.0
13/03/2025,18.899,19.281,17.783,18.5,357447077,Avalanche,AVAX-USD,-0.0211,18.5266,0.0
14/03/2025,18.5,19.264,18.499,18.57,299117682,Avalanche,AVAX-USD,0.0038,18.3084,0.0
15/03/2025,18.57,19.456,18.413,19.414,274731087,Avalanche,AVAX-USD,0.0454,18.1574,0.0
16/03/2025,19.414,19.805,18.149,18.291,251537677,Avalanche,AVAX-USD,-0.0578,18.205,0.0
17/03/2025,18.291,19.069,18.256,18.832,264901613,Avalanche,AVAX-USD,0.0296,18.5687,0.0
18/03/2025,18.832,19.234,18.376,19.002,265141173,Avalanche,AVAX-USD,0.009,18.7869,0.0
19/03/2025,19.002,20.058,18.866,19.748,361404418,Avalanche,AVAX-USD,0.0393,18.9081,0.0
20/03/2025,19.749,19.832,18.442,18.731,236868273,Avalanche,AVAX-USD,-0.0515,18.9411,0.0
21/03/2025,18.731,19.437,18.389,19.154,192050442,Avalanche,AVAX-USD,0.0226,19.0246,0.0
22/03/2025,19.154,19.715,19.114,19.42,150619021,Avalanche,AVAX-USD,0.0139,19.0254,0.0
23/03/2025,19.42,19.812,19.334,19.812,160264018,Avalanche,AVAX-USD,0.0202,19.2427,0.0
24/03/2025,19.811,22.08,19.81,21.46,502855575,Avalanche,AVAX-USD,0.0832,19.6181,0.0
25/03/2025,21.46,23.437,21.334,22.924,368087459,Avalanche,AVAX-USD,0.0682,20.1784,0.0
26/03/2025,22.924,23.226,21.87,22.048,287117610,Avalanche,AVAX-USD,-0.0382,20.507,0.0
27/03/2025,22.048,22.351,21.67,22.0,231004333,Avalanche,AVAX-USD,-0.0022,20.974,0.0
28/03/2025,22.0,22.166,19.807,20.374,324964703,Avalanche,AVAX-USD,-0.0739,21.1483,0.0
29/03/2025,20.371,20.518,19.504,19.655,234283284,Avalanche,AVAX-USD,-0.0353,21.1819,0.0
30/03/2025,19.655,19.879,18.733,18.863,222561606,Avalanche,AVAX-USD,-0.0403,21.0463,0.0
31/03/2025,18.863,19.1,18.216,18.769,253348453,Avalanche,AVAX-USD,-0.005,20.6619,0.0
01/04/2025,18.769,19.925,18.741,19.793,287419415,Avalanche,AVAX-USD,0.0546,20.2146,0.0
02/04/2025,19.792,19.825,17.809,18.014,475338408,Avalanche,AVAX-USD,-0.0899,19.6383,0.0
03/04/2025,18.013,18.964,17.62,18.134,333215974,Avalanche,AVAX-USD,0.0067,19.086,0.0
04/04/2025,18.134,18.747,17.673,18.182,346981298,Avalanche,AVAX-USD,0.0026,18.7729,0.0
05/04/2025,18.182,18.358,17.73,17.892,135715781,Avalanche,AVAX-USD,-0.0159,18.521,0.0533
06/04/2025,17.891,17.895,15.653,15.995,354643328,Avalanche,AVAX-USD,-0.106,18.1113,0.056
07/04/2025,15.995,17.111,14.703,16.695,729973332,Avalanche,AVAX-USD,0.0438,17.815,0.0566
08/04/2025,16.695,17.685,15.958,16.122,361405461,Avalanche,AVAX-USD,-0.0343,17.2906,0.0524
09/04/2025,16.122,18.828,15.628,18.445,610138171,Avalanche,AVAX-USD,0.1441,17.3521,0.056
10/04/2025,18.446,18.446,17.632,18.33,282886888,Avalanche,AVAX-USD,-0.0062,17.3801,0.0546
11/04/2025,18.329,19.541,18.32,19.162,331255925,Avalanche,AVAX-USD,0.0454,17.5201,0.0532
12/04/2025,19.162,20.992,18.861,20.47,330578712,Avalanche,AVAX-USD,0.0683,17.8884,0.0543
13/04/2025,20.47,20.627,19.379,19.587,270016996,Avalanche,AVAX-USD,-0.0431,18.4016,0.055
14/04/2025,19.587,20.597,19.581,20.092,393253373,Avalanche,AVAX-USD,0.0258,18.8869,0.0546
15/04/2025,20.091,20.251,18.992,19.036,269573528,Avalanche,AVAX-USD,-0.0526,19.3031,0.0544
16/04/2025,19.037,19.259,18.568,18.759,246924498,Avalanche,AVAX-USD,-0.0146,19.348,0.0543
17/04/2025,18.759,19.542,18.71,19.039,192744228,Avalanche,AVAX-USD,0.0149,19.4493,0.0543
18/04/2025,19.039,19.318,18.866,19.074,121725906,Avalanche,AVAX-USD,0.0018,19.4367,0.0539
19/04/2025,19.074,20.334,19.043,19.894,175262077,Avalanche,AVAX-USD,0.043,19.3544,0.0535
20/04/2025,19.893,20.016,19.249,19.501,157114043,Avalanche,AVAX-USD,-0.0198,19.3421,0.0535
21/04/2025,19.501,20.901,19.501,19.925,347296926,Avalanche,AVAX-USD,0.0217,19.3183,0.0536
22/04/2025,19.924,22.269,19.521,22.08,456889464,Avalanche,AVAX-USD,0.1082,19.7531,0.0569
23/04/2025,22.08,23.05,21.937,22.338,443596592,Avalanche,AVAX-USD,0.0117,20.2644,0.055
24/04/2025,22.338,22.608,21.662,22.358,329239526,Avalanche,AVAX-USD,0.0009,20.7386,0.0536
25/04/2025,22.358,22.831,21.818,22.188,377519228,Avalanche,AVAX-USD,-0.0076,21.1834,0.0531
26/04/2025,22.188,22.939,21.774,22.422,288849374,Avalanche,AVAX-USD,0.0105,21.5446,0.0531
27/04/2025,22.422,22.773,21.709,21.76,255674724,Avalanche,AVAX-USD,-0.0295,21.8673,0.0515
28/04/2025,21.76,22.418,21.09,21.842,366359713,Avalanche,AVAX-USD,0.0038,22.1411,0.051
29/04/2025,21.842,22.277,21.313,21.55,268553485,Avalanche,AVAX-USD,-0.0134,22.0654,0.0504
